"","V1","V2"
"1",51,10
"2",51,10
"3",51,10
"4",51,10
"5",51,10
"6",51,10
"7",51,10
"8",51,10
"9",51,10
"10",51,10
"11",52,3
"12",52,3
"13",52,3
"14",53,3
"15",53,3
"16",53,3
"17",54,7
"18",54,7
"19",54,7
"20",54,7
"21",54,7
"22",54,7
"23",54,7
"24",55,8
"25",55,8
"26",55,8
"27",55,8
"28",55,8
"29",55,8
"30",55,8
"31",55,8
"32",56,9
"33",56,9
"34",56,9
"35",56,9
"36",56,9
"37",56,9
"38",56,9
"39",56,9
"40",56,9
"41",57,22
"42",57,22
"43",57,22
"44",57,22
"45",57,22
"46",57,22
"47",57,22
"48",57,22
"49",57,22
"50",57,22
"51",57,22
"52",57,22
"53",57,22
"54",57,22
"55",57,22
"56",57,22
"57",57,22
"58",57,22
"59",57,22
"60",57,22
"61",57,22
"62",57,22
"63",58,2
"64",58,2
"65",59,13
"66",59,13
"67",59,13
"68",59,13
"69",59,13
"70",59,13
"71",59,13
"72",59,13
"73",59,13
"74",59,13
"75",59,13
"76",59,13
"77",59,13
"78",60,9
"79",60,9
"80",60,9
"81",60,9
"82",60,9
"83",60,9
"84",60,9
"85",60,9
"86",60,9
"87",61,7
"88",61,7
"89",61,7
"90",61,7
"91",61,7
"92",61,7
"93",61,7
"94",62,6
"95",62,6
"96",62,6
"97",62,6
"98",62,6
"99",62,6
"100",63,7
"101",63,7
"102",63,7
"103",63,7
"104",63,7
"105",63,7
"106",63,7
"107",64,8
"108",64,8
"109",64,8
"110",64,8
"111",64,8
"112",64,8
"113",64,8
"114",64,8
"115",65,10
"116",65,10
"117",65,10
"118",65,10
"119",65,10
"120",65,10
"121",65,10
"122",65,10
"123",65,10
"124",65,10
"125",66,2
"126",66,2
"127",67,17
"128",67,17
"129",67,17
"130",67,17
"131",67,17
"132",67,17
"133",67,17
"134",67,17
"135",67,17
"136",67,17
"137",67,17
"138",67,17
"139",67,17
"140",67,17
"141",67,17
"142",67,17
"143",67,17
"144",68,11
"145",68,11
"146",68,11
"147",68,11
"148",68,11
"149",68,11
"150",68,11
"151",68,11
"152",68,11
"153",68,11
"154",68,11
"155",48,21
"156",48,21
"157",48,21
"158",48,21
"159",48,21
"160",48,21
"161",48,21
"162",48,21
"163",48,21
"164",48,21
"165",48,21
"166",48,21
"167",48,21
"168",48,21
"169",48,21
"170",48,21
"171",48,21
"172",48,21
"173",48,21
"174",48,21
"175",48,21
"176",47,26
"177",47,26
"178",47,26
"179",47,26
"180",47,26
"181",47,26
"182",47,26
"183",47,26
"184",47,26
"185",47,26
"186",47,26
"187",47,26
"188",47,26
"189",47,26
"190",47,26
"191",47,26
"192",47,26
"193",47,26
"194",47,26
"195",47,26
"196",47,26
"197",47,26
"198",47,26
"199",47,26
"200",47,26
"201",47,26
"202",49,1
"203",36,3
"204",36,3
"205",36,3
"206",39,2
"207",39,2
"208",42,1
"209",43,2
"210",43,2
"211",18,2
"212",18,2
"213",19,4
"214",19,4
"215",19,4
"216",19,4
"217",20,2
"218",20,2
"219",21,1
"220",22,6
"221",22,6
"222",22,6
"223",22,6
"224",22,6
"225",22,6
"226",28,5
"227",28,5
"228",28,5
"229",28,5
"230",28,5
"231",40,3
"232",40,3
"233",40,3
"234",41,6
"235",41,6
"236",41,6
"237",41,6
"238",41,6
"239",41,6
"240",9,1
"241",10,1
"242",16,5
"243",16,5
"244",16,5
"245",16,5
"246",16,5
"247",17,1
"248",23,11
"249",23,11
"250",23,11
"251",23,11
"252",23,11
"253",23,11
"254",23,11
"255",23,11
"256",23,11
"257",23,11
"258",23,11
"259",24,4
"260",24,4
"261",24,4
"262",24,4
"263",25,1
"264",37,5
"265",37,5
"266",37,5
"267",37,5
"268",37,5
"269",44,1
"270",45,1
"271",46,1
"272",32,1
"273",38,2
"274",38,2
"275",7,5
"276",7,5
"277",7,5
"278",7,5
"279",7,5
"280",8,1
"281",30,3
"282",30,3
"283",30,3
"284",31,1
"285",1,3
"286",1,3
"287",1,3
"288",2,4
"289",2,4
"290",2,4
"291",2,4
"292",3,1
"293",4,2
"294",4,2
"295",5,2
"296",5,2
"297",6,1
"298",11,1
"299",26,15
"300",26,15
"301",26,15
"302",26,15
"303",26,15
"304",26,15
"305",26,15
"306",26,15
"307",26,15
"308",26,15
"309",26,15
"310",26,15
"311",26,15
"312",26,15
"313",26,15
"314",27,3
"315",27,3
"316",27,3
"317",29,6
"318",29,6
"319",29,6
"320",29,6
"321",29,6
"322",29,6
"323",33,17
"324",33,17
"325",33,17
"326",33,17
"327",33,17
"328",33,17
"329",33,17
"330",33,17
"331",33,17
"332",33,17
"333",33,17
"334",33,17
"335",33,17
"336",33,17
"337",33,17
"338",33,17
"339",33,17
"340",34,7
"341",34,7
"342",34,7
"343",34,7
"344",34,7
"345",34,7
"346",34,7
"347",50,2
"348",50,2
"349",12,3
"350",12,3
"351",12,3
"352",13,2
"353",13,2
"354",14,2
"355",14,2
"356",15,2
"357",15,2
"358",35,2
"359",35,2
